,colony,street,street_number,postal_code,zone,directions,lat,lon
29,SANTA MARIA,SAN MATEO,1407,44350,Guadalajara,"SAN MATEO 1407, SANTA MARIA, Guadalajara",20.6879689,-103.3157451
154,LA MOJONERA,DE BARAJAS,425,45134,Zapopan,"DE BARAJAS 425, LA MOJONERA, Zapopan",20.78831785,-103.45075595
237,VICENTE GUERRERO,C CEDROS,15,45134,Zapopan,"C CEDROS 15, VICENTE GUERRERO, Zapopan",20.741835,-103.3386413
14,LADRON DE GUEVARA,AVENIDA MEXICO,2582,44600,Guadalajara,"AVENIDA MEXICO 2582, LADRON DE GUEVARA, Guadalajara",20.679539,-103.3821471
156,RESIDENCIAL TESISTAN,PARQUE MEXICANO,150,45200,Zapopan,"PARQUE MEXICANO 150, RESIDENCIAL TESISTAN, Zapopan",20.665307,-103.40409989
44,MARAVILLA,MESA DEL NORTE,1272,44700,Guadalajara,"MESA DEL NORTE 1272, MARAVILLA, Guadalajara",20.6996615,-103.3042162
181,CONDOMINIO MALAGA,AV CENTRAL,1351,45117,Zapopan,"AV CENTRAL 1351, CONDOMINIO MALAGA, Zapopan",20.6937778,-103.4324128
118,U H LAZARO CARDENAS,OTHON BLANCO CA,4087,44490,Guadalajara,"OTHON BLANCO CA 4087, U H LAZARO CARDENAS, Guadalajara",20.6213652,-103.3783249
242,BOSQUE ESCONDIDO,PASEO DE LOS AL,10,45180,Zapopan,"PASEO DE LOS AL 10, BOSQUE ESCONDIDO, Zapopan",20.7469871,-103.3822178
117,VALLARTA SAN JORGE,EUCLIDES,3302,44690,Guadalajara,"EUCLIDES 3302, VALLARTA SAN JORGE, Guadalajara",20.6751303,-103.3983219
279,LOMAS DL VALLE VI UN,CANCER,3992,45129,Zapopan,"CANCER 3992, LOMAS DL VALLE VI UN, Zapopan",20.6850586,-103.4084621
45,POLANQUITO,MIGUEL MACIAS,3653,44969,Guadalajara,"MIGUEL MACIAS 3653, POLANQUITO, Guadalajara",20.618594,-103.37202
54,VILLAS DE GADALUPE,AV PATRIA,4177,44720,Guadalajara,"AV PATRIA 4177, VILLAS DE GADALUPE, Guadalajara",20.6849943,-103.2719253
272,12 DE DICIEMBRE,TRUENO,260,45068,Zapopan,"TRUENO 260, 12 DE DICIEMBRE, Zapopan",20.6491888,-103.457067
256,EL BRISE?,PASEO DE LA MAT,200,45236,Zapopan,"PASEO DE LA MAT 200, EL BRISE?, Zapopan",20.61881066,-103.43599554
8,RINCONADA DE HUENTITAN,JUAN CARRASCO,5234,44250,Guadalajara,"JUAN CARRASCO 5234, RINCONADA DE HUENTITAN, Guadalajara",20.7334639,-103.3219648
258,ARENALES TAPATIOS,DIAMANTE,114,45066,Zapopan,"DIAMANTE 114, ARENALES TAPATIOS, Zapopan",20.6339582,-103.4563939
218,EJIDAL LOMA BONITA,PEDRO MORENO,3205,45085,Zapopan,"PEDRO MORENO 3205, EJIDAL LOMA BONITA, Zapopan",20.6313377,-103.4015789
232,LAS AGUILAS,RIO TOMATLAN,800,45080,Zapopan,"RIO TOMATLAN 800, LAS AGUILAS, Zapopan",20.625904,-103.407993
167,CAMPO REAL,AV CAMPO REAL P,353,45134,Zapopan,"AV CAMPO REAL P 353, CAMPO REAL, Zapopan",20.78893521,-103.44364777
60,SANTA ROSA,MELQUIADES CAMP,2289,44700,Guadalajara,"MELQUIADES CAMP 2289, SANTA ROSA, Guadalajara",20.702616,-103.287933
209,FRACC JARDINES DE BELEN,TORONJA,41,45200,Zapopan,"TORONJA 41, FRACC JARDINES DE BELEN, Zapopan",20.8124,-103.4826
251,REAL DE TESISTAN,PRIVADA EMILIAN,28,45200,Zapopan,"PRIVADA EMILIAN 28, REAL DE TESISTAN, Zapopan",20.79364007,-103.4744717
