,colony,street,street_number,postal_code,zone,directions,lat,lon
257,PARQUES DE ZAPOPAN,OPALO,14,45138,Zapopan,"OPALO 14, PARQUES DE ZAPOPAN, Zapopan",20.7473862,-103.4188519
159,BENITO JUAREZ,ADOLFO LOPEZ MA,4754,45199,Zapopan,"ADOLFO LOPEZ MA 4754, BENITO JUAREZ, Zapopan",20.79533048,-103.5005241
122,U. H. BENITO JUAREZ II,CREDITO,4049,44770,Guadalajara,"CREDITO 4049, U. H. BENITO JUAREZ II, Guadalajara",20.6661078,-103.2755658
38,MIRAVALLE II,HERMENEGILDO BU,4308,44990,Guadalajara,"HERMENEGILDO BU 4308, MIRAVALLE II, Guadalajara",20.6127044,-103.3450677
16,LOMAS DEL PARADERO,LUIS QUINTANAR,746,44840,Guadalajara,"LUIS QUINTANAR 746, LOMAS DEL PARADERO, Guadalajara",20.650031,-103.3199848
67,LOMAS DE POLANCO,RAMON ALCORTA,1597,44960,Guadalajara,"RAMON ALCORTA 1597, LOMAS DE POLANCO, Guadalajara",20.6305508,-103.3684773
31,OBLATOS PONIENTE,JUAN PABLO II,3165,44700,Guadalajara,"JUAN PABLO II 3165, OBLATOS PONIENTE, Guadalajara",20.70162171,-103.28662543
109,VALLARTA SAN JORGE,TUCIDIDES,156,44690,Guadalajara,"TUCIDIDES 156, VALLARTA SAN JORGE, Guadalajara",20.678198,-103.3960161
61,LA AURORA,SALVADOR LOPEZ,1750,44790,Guadalajara,"SALVADOR LOPEZ 1750, LA AURORA, Guadalajara",20.6494585,-103.3388108
207,VICTOR HUGO,PRIVADA COLON,150,45190,Zapopan,"PRIVADA COLON 150, VICTOR HUGO, Zapopan",20.7211,-103.3541
50,JARDINES DE LA CRUZ,ISLA MADAGASCAR,3111,44950,Guadalajara,"ISLA MADAGASCAR 3111, JARDINES DE LA CRUZ, Guadalajara",20.63864,-103.386237
198,RANCHO NUEVO,CELERINO NAVARR,4135,44240,Zapopan,"CELERINO NAVARR 4135, RANCHO NUEVO, Zapopan",20.717712,-103.32276
221,HDA SAN ISIDRO,LA VILLA,455,45147,Zapopan,"LA VILLA 455, HDA SAN ISIDRO, Zapopan",20.7289036,-103.3982935
73,LA LOMA,LUIS PAEZ BROTC,1574,44410,Guadalajara,"LUIS PAEZ BROTC 1574, LA LOMA, Guadalajara",20.6603006,-103.3213277
25,HELIODORO HERNANDEZ,CELIA PACHECO,3713,44720,Guadalajara,"CELIA PACHECO 3713, HELIODORO HERNANDEZ, Guadalajara",20.696344,-103.2789
58,RESIDENCIAL LA CRUZ,ISLA ABACO,3086,44950,Guadalajara,"ISLA ABACO 3086, RESIDENCIAL LA CRUZ, Guadalajara",20.637418,-103.37829
74,BENITO JUAREZ,JUAN MANUEL RUV,1992,45199,Guadalajara,"JUAN MANUEL RUV 1992, BENITO JUAREZ, Guadalajara",20.6786141,-103.361751
166,COLINAS D LA PRIMAVE,CASCADA,147,45066,Zapopan,"CASCADA 147, COLINAS D LA PRIMAVE, Zapopan",20.637151,-103.4700562
162,FRACC PALERMO,MARINA,204,45200,Zapopan,"MARINA 204, FRACC PALERMO, Zapopan",20.81616775,-103.460718
98,AMERICANA,COLONIAS,221,44160,Guadalajara,"COLONIAS 221, AMERICANA, Guadalajara",20.6727475,-103.3659644
102,ECHEVERRIA,JOSE ROJO,958,44970,Guadalajara,"JOSE ROJO 958, ECHEVERRIA, Guadalajara",20.62216715,-103.36095184
161,PRADOS  GUADALUPE,G ROSSINI,428,45030,Zapopan,"G ROSSINI 428, PRADOS  GUADALUPE, Zapopan",20.6686337,-103.4349976
64,PARQUE INDUST EL ALA,FUNDICION,2131,44490,Guadalajara,"FUNDICION 2131, PARQUE INDUST EL ALA, Guadalajara",20.6266889,-103.3338499
108,VILLA VICENTE GUERRE,ISLA USTICA,3318,44860,Guadalajara,"ISLA USTICA 3318, VILLA VICENTE GUERRE, Guadalajara",20.632482,-103.395812
268,TABACHINES,PASEO DE LOS AV,3101,45188,Zapopan,"PASEO DE LOS AV 3101, TABACHINES, Zapopan",20.74189052,-103.36275942
127,HELIODORO HERNANDEZ,MIGUEL SANCHEZ,3789,44720,Guadalajara,"MIGUEL SANCHEZ 3789, HELIODORO HERNANDEZ, Guadalajara",20.6948729,-103.278313
46,MIRAVALLE II,PEDRO PATINO,643,44990,Guadalajara,"PEDRO PATINO 643, MIRAVALLE II, Guadalajara",20.6069021,-103.3496879
66,BALCONES DE OBLATOS,ROSA RODRIGUEZ,3876,44720,Guadalajara,"ROSA RODRIGUEZ 3876, BALCONES DE OBLATOS, Guadalajara",20.6952319,-103.2769238
204,REAL DE VALDEPE?S,ALAMBIQUE,51,45130,Zapopan,"ALAMBIQUE 51, REAL DE VALDEPE?S, Zapopan",20.7560515,-103.4015362
196,AGRICOLA,OBELISCO,138,45236,Zapopan,"OBELISCO 138, AGRICOLA, Zapopan",20.616065,-103.432436
78,RINCONADA DE HUENTITAN,JOSE MARIA CANA,5128,44250,Guadalajara,"JOSE MARIA CANA 5128, RINCONADA DE HUENTITAN, Guadalajara",20.731589,-103.324636
82,MEZQUITAN COUNTRY,DIAGONAL NAJERA,1876,44260,Guadalajara,"DIAGONAL NAJERA 1876, MEZQUITAN COUNTRY, Guadalajara",20.69196018,-103.3647616
6,TETLAN,GIGANTES,108,44820,Guadalajara,"GIGANTES 108, TETLAN, Guadalajara",20.65951835,-103.2736384
232,LAS AGUILAS,RIO TOMATLAN,800,45080,Zapopan,"RIO TOMATLAN 800, LAS AGUILAS, Zapopan",20.625904,-103.407993
121,5 DE MAYO,RAMON MARQUEZ,362,44970,Guadalajara,"RAMON MARQUEZ 362, 5 DE MAYO, Guadalajara",20.6248619,-103.3530199
231,RESIDENCIAL TESISTAN,AV SAN MATEO,1115,45200,Zapopan,"AV SAN MATEO 1115, RESIDENCIAL TESISTAN, Zapopan",20.7943479,-103.4683674
151,VIGIA I,HERRADURA,242,45140,Zapopan,"HERRADURA 242, VIGIA I, Zapopan",20.7327233,-103.3938158
139,JARDINES DE LA CRUZ,REYES CATOLICOS,2151,44950,Guadalajara,"REYES CATOLICOS 2151, JARDINES DE LA CRUZ, Guadalajara",20.64629179,-103.37634047
103,U H EL SAUZ INF,JAIME TORRES B,3090,44987,Guadalajara,"JAIME TORRES B 3090, U H EL SAUZ INF, Guadalajara",20.623719,-103.3945749
37,SANTA TERESITA,ALFREDO CHAVERO,16,44600,Guadalajara,"ALFREDO CHAVERO 16, SANTA TERESITA, Guadalajara",20.683706,-103.368627
