,colony,street,street_number,postal_code,zone,directions,lat,lon
92,HUENTITAN EL BAJO,VOLCAN VIRGEN,182,44250,Guadalajara,"VOLCAN VIRGEN 182, HUENTITAN EL BAJO, Guadalajara",20.7305924,-103.316844
21,PENAL,PEDRO CELESTINO,482,44730,Guadalajara,"PEDRO CELESTINO 482, PENAL, Guadalajara",20.678154,-103.319812
200,EL HUMEDO,RIO ACAPONETA,2,45200,Zapopan,"RIO ACAPONETA 2, EL HUMEDO, Zapopan",20.795757,-103.493083
38,MIRAVALLE II,HERMENEGILDO BU,4308,44990,Guadalajara,"HERMENEGILDO BU 4308, MIRAVALLE II, Guadalajara",20.6127044,-103.3450677
52,18 DE MARZO,FAJA DE ORO,1783,44960,Guadalajara,"FAJA DE ORO 1783, 18 DE MARZO, Guadalajara",20.63485145,-103.37672045
284,LA VENTA DEL ASTILLE,JILGEROS,33,45221,Zapopan,"JILGEROS 33, LA VENTA DEL ASTILLE, Zapopan",20.7322419,-103.53937
238,LOMAS DEL CENTINELA,PASEO DEL OLMO,328,45187,Zapopan,"PASEO DEL OLMO 328, LOMAS DEL CENTINELA, Zapopan",20.75542914,-103.37931546
230,COLINAS DEL REY,AV TORREMOLINOS,3500,45130,Zapopan,"AV TORREMOLINOS 3500, COLINAS DEL REY, Zapopan",20.752913,-103.40735
91,HUENTITAN EL BAJO,VOLCAN FUJIYAMA,4413,44250,Guadalajara,"VOLCAN FUJIYAMA 4413, HUENTITAN EL BAJO, Guadalajara",20.738969,-103.3189689
173,BUGAMBILIAS,PASEO DE LA VIC,4952,45238,Zapopan,"PASEO DE LA VIC 4952, BUGAMBILIAS, Zapopan",20.60869227,-103.47949598
71,ELECTRICISTAS,RAMOS ARIZPE,451,44810,Guadalajara,"RAMOS ARIZPE 451, ELECTRICISTAS, Guadalajara",20.653829,-103.3106468
109,VALLARTA SAN JORGE,TUCIDIDES,156,44690,Guadalajara,"TUCIDIDES 156, VALLARTA SAN JORGE, Guadalajara",20.678198,-103.3960161
262,LINDAVISTA,ALLENDE,216,45169,Zapopan,"ALLENDE 216, LINDAVISTA, Zapopan",20.721194,-103.3988204
13,SAN ANDRES,GOMEZ FARIAS,2319,44810,Guadalajara,"GOMEZ FARIAS 2319, SAN ANDRES, Guadalajara",20.66197709,-103.30791285
264,EL ARENAL,PROLONGACION SA,43,45350,Zapopan,"PROLONGACION SA 43, EL ARENAL, Zapopan",20.74234227,-103.33373909
258,ARENALES TAPATIOS,DIAMANTE,114,45066,Zapopan,"DIAMANTE 114, ARENALES TAPATIOS, Zapopan",20.6339582,-103.4563939
142,18 DE MARZO,NATIVIDAD MACIA,1326,44960,Guadalajara,"NATIVIDAD MACIA 1326, 18 DE MARZO, Guadalajara",20.6332169,-103.3695316
223,MESA DE LOS OCOTES,BETABEL,23,45189,Zapopan,"BETABEL 23, MESA DE LOS OCOTES, Zapopan",20.7672275,-103.3435708
279,LOMAS DL VALLE VI UN,CANCER,3992,45129,Zapopan,"CANCER 3992, LOMAS DL VALLE VI UN, Zapopan",20.6850586,-103.4084621
211,EL COLLY URBANO I,MELCHOR OCAMPO,1233,45070,Zapopan,"MELCHOR OCAMPO 1233, EL COLLY URBANO I, Zapopan",20.6449026,-103.4405377
64,PARQUE INDUST EL ALA,FUNDICION,2131,44490,Guadalajara,"FUNDICION 2131, PARQUE INDUST EL ALA, Guadalajara",20.6266889,-103.3338499
154,LA MOJONERA,DE BARAJAS,425,45134,Zapopan,"DE BARAJAS 425, LA MOJONERA, Zapopan",20.78831785,-103.45075595
250,TIERRA RESIDENCIAL,SAN MATEO,2010,45200,Zapopan,"SAN MATEO 2010, TIERRA RESIDENCIAL, Zapopan",20.8026474,-103.4705006
101,JARDINES DEL NILO,MANUEL RIVERA C,2818,44860,Guadalajara,"MANUEL RIVERA C 2818, JARDINES DEL NILO, Guadalajara",20.6459499,-103.3015471
31,OBLATOS PONIENTE,JUAN PABLO II,3165,44700,Guadalajara,"JUAN PABLO II 3165, OBLATOS PONIENTE, Guadalajara",20.70162171,-103.28662543
218,EJIDAL LOMA BONITA,PEDRO MORENO,3205,45085,Zapopan,"PEDRO MORENO 3205, EJIDAL LOMA BONITA, Zapopan",20.6313377,-103.4015789
277,DIVISION DL NTE ZAP,FRANCISCO VILLA,27,45180,Zapopan,"FRANCISCO VILLA 27, DIVISION DL NTE ZAP, Zapopan",20.73240707,-103.35364459
